Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрченко,Назар,Русланович,Чоловіча,15.09.2007,Водій,селище Кодима,"проспект Іванова 1-й, буд. 21 кв. 260, Радивилів, 83878",+380 (26) 640-51-10,komarokseniia@example.com
Заїка,Олександр,Августинович,Чоловіча,02.11.1998,Гицель,селище Апостолове,"сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 44, Барвінкове, 30390",+380 68 395-78-47,jvasylashko@example.com
Асаула,Устим,Прохорович,Чоловіча,06.04.1970,Дизайнер,хутір Радомишль,"парк Кузнечна, буд. 52 кв. 730, Глиняни, 86251",052 356 09 18,petrykiaroslav@example.org
Байдак,Мирослав,Тарасович,Чоловіча,12.09.1968,Футболіст,хутір Чистякове,"провулок Слов'янська, буд. 760, Краматорськ, 23013",043-69-41,khorishkovarfolomii@example.net
Вишняк,Мирослав,Богуславович,Чоловіча,21.02.1993,Секретар,село Макіївка,"узвіз Умова, буд. 2 кв. 16, Молочанськ, 14230",038 324 60 49,leontii30@example.com
Пушкар,Симон,Веніяминович,Чоловіча,28.11.1951,Геолог,місто Рахів,"парк Павлодарська, буд. 547, Тисмениця, 16245",+380 91 226 08 19,diakovenko@example.com
Єрмоленко,Демʼян,Хомович,Чоловіча,05.08.1942,Хімік,селище Ходорів,"вулиця Педагогічний, буд. 0, Токмак, 62985",085 16 00,gustenko@example.net
Вакуленко,Демʼян,Ааронович,Чоловіча,14.06.1950,Швачка,місто Золоте,"площа Асташкіна, буд. 7, Кропивницький, 48322",951 33 84,kovpakoleksandr@example.org
Тихий,Нестор,Мирославович,Чоловіча,04.07.1958,Художник,хутір Алмазна,"сквер Лінія 27-ма, буд. 434 кв. 036, Ірміно, 64448",+380 (11) 775-87-67,kozachenkoonysym@example.org
Барабаш,Лукʼян,Яремович,Чоловіча,23.10.1977,Бізнесмен,селище Берислав,"сквер Олександра Невського, буд. 74, Рава-Руська, 03325",+380 30 134 09 38,karmaliukklyment@example.net
Вдовиченко,Дан,Несторович,Чоловіча,21.01.1950,Соціолог,селище Носівка,"узвіз Достоєвського, буд. 9 кв. 5, Знам'янка, 92299",+380 94 747-46-98,vatamaniuksnizhana@example.net
Шевченко,Данило,Кирилович,Чоловіча,31.07.1998,Астроном,місто Каховка,"сквер Ціолковського, буд. 26, Здолбунів, 03493",004 434-13-32,iustyna84@example.com
Демиденко,Амвросій,Аркадійович,Чоловіча,29.07.1968,Агроном,село Покровськ,"площа Калинова, буд. 27, Кременець, 29356",+380 69 658-21-07,eivashchenko@example.com
Шеремета,Лукʼян,Бориславович,Чоловіча,01.08.1951,Дерун,хутір Липовець,"проспект Ялинковий, буд. 760 кв. 15, Красногорівка, 01896",+380 23 173 93 36,cherinkospas@example.net
Годунок,Прохір,Устимович,Чоловіча,20.05.1960,Різноробочий,місто Старобільськ,"шосе Міцкевича, буд. 36, Сніжне, 20742",068 888 22 62,myron10@example.net
Охримович,Тимофій,Олегович,Чоловіча,28.10.1987,Хімік,місто Молочанськ,"площа Хутірська, буд. 828, Очаків, 37031",+380 84 084-84-76,ustenkoruslan@example.com
Кармалюк,Франц,Андрійович,Чоловіча,27.09.1966,М'ясник,місто Родинське,"узвіз Вертелецького, буд. 267, Березань , 42287",+380 (49) 661-82-81,xpetrenko@example.org
Романенко,Георгій,Омелянович,Чоловіча,04.08.1956,Філолог,селище Чорнобиль,"набережна Дунаєвського, буд. 546 кв. 2, Вашківці, 02454",085 045-63-33,andreikobohdanna@example.com
Хоменко,Леон,Адамович,Чоловіча,04.11.1993,Музичний редактор,селище Новомиргород,"провулок Льва Толстого, буд. 94 кв. 587, Гребінка, 73865",059 547-72-80,opanasiemelianenko@example.net
Заруба,Ярослав,Леонідович,Чоловіча,26.09.1978,Гінеколог,селище Вуглегірськ,"шосе Моторний 2-й, буд. 467 кв. 940, Ясинувата, 56064",+380 51 172-98-04,oresttsiutsiura@example.net
Зінчук,Ілля,Зорянович,Чоловіча,23.03.1938,Модель,селище Донецьк,"провулок Метрополітенівський, буд. 87 кв. 0, Баштанка, 02355",+380 39 810 41 50,vdanylenko@example.net
Пʼятаченко,Богуслав,Амвросійович,Чоловіча,09.12.1990,М'ясник,село Хотин,"проспект Розумовський 2-й, буд. 7, Семенівка, 24186",+380 66 252-04-22,iaremakhomyk@example.org
Рудько,Семен,Вікторович,Чоловіча,24.12.1999,Різноробочий,селище Кремінна,"набережна Лузанівський, буд. 354, Заліщики, 60319",000 226 02 88,ydavymuka@example.net
Данько,Лесь,Єлисейович,Чоловіча,03.01.1990,Дантист,село Новомиргород,"шосе 1-ша Суворовська, буд. 250 кв. 245, Роздільна, 48993",+380 22 833-28-13,demianenkoihnat@example.org
Матяш,Альберт,Зиновійович,Чоловіча,10.07.1962,Правник,місто Любомль,"площа Маковий, буд. 3, Вуглегірськ, 63331",702 14 20,semenvyshyvanyi@example.net
Михалюк,Гаврило,Андрійович,Чоловіча,01.04.1990,Сантехнік,село Куп'янськ,"парк 4-та Лінія Марії Демченко, буд. 881, Вінниця, 18363",045 228-64-92,prokhirtverdokhlib@example.com
Алексюк,Левко,Панасович,Чоловіча,27.10.1963,Слідчий,місто Монастириська,"вулиця 9-та Лінія Дачі Ковалевського, буд. 975, Червоноград, 53099",+380 (50) 737-60-05,odurdynets@example.com
Коваленко,Зорян,Олегович,Чоловіча,29.12.1975,Бібліограф,селище Сокиряни,"сквер Ямчитського, буд. 0, Алчевськ, 62501",+380 51 284 55 43,atovstukha@example.com
Запорожець,Павло,Микитович,Чоловіча,25.02.1950,Каскадер,село Роздільна,"проспект Заводська 1-ша, буд. 485, Луцьк, 94875",+380 40 588-78-91,badamenko@example.com
Венгринович,Тимофій,Вʼячеславович,Чоловіча,17.05.1960,Ботанік,селище Хрустальний,"узвіз Дерибасівська, буд. 59, Горохів, 61431",+380 25 658 74 88,ostapmasliak@example.com
Приходько,Панас,Панасович,Чоловіча,15.04.1993,Будник,місто Обухів,"провулок Вершинна, буд. 94 кв. 042, Нікополь, 40628",063 509 99 04,anita99@example.com
Ляшко,Степан,Сергійович,Чоловіча,03.07.1940,Гінеколог,місто Амвросіївка,"шосе Побратимів, буд. 453 кв. 9, Полтава, 24289",+380 68 349-45-10,telizhenkoolena@example.org
Шиян,Федір,Євгенійович,Чоловіча,23.05.1960,Астронавт,селище Харків,"набережна Пантелеймонівська, буд. 5, Глухів, 78529",+380 83 355-08-87,batihmariia@example.org
Чайка,Соломон,Кирилович,Чоловіча,14.06.2003,Будник,хутір Нове Давидково,"вулиця Олександра Невського 5-й, буд. 0, Березівка, 59015",742-20-81,olifirenkovolodymyra@example.com
Єсипенко,Аркадій,Володимирович,Чоловіча,10.09.1994,Дипломат,місто Соснівка ,"провулок Болгарська, буд. 315 кв. 7, Попасна, 81743",037 931-10-80,jkhrystych@example.org
Єщенко,Богдан,Адамович,Чоловіча,05.10.1970,Етнограф,селище Чорноморськ,"сквер Пісочний, буд. 2, Суми, 15012",+380 (75) 871-12-05,ihortsiupa@example.com
Бевзенко,Богуслав,Олесьович,Чоловіча,29.06.1940,Фотограф,село Городище ,"вулиця Водопровідний 3-й, буд. 57 кв. 271, Мена , 62252",051 080-93-70,emasokha@example.com
Ґереґа,Святослав,Соломонович,Чоловіча,08.10.1968,Дизайнер,селище Кодима,"набережна Шкільний, буд. 4 кв. 3, Хоростків, 12618",024 168 72 31,vysochanrozaliia@example.net
Сагаль,Соломон,Єфремович,Чоловіча,11.09.1945,Випробувач,хутір Устилуг,"парк Володимира Хавкіна, буд. 7 кв. 93, Добропілля, 80873",979-53-77,milenariabets@example.org
Жайворон,Йосип,Аврелійович,Чоловіча,24.08.1948,Будник,хутір Гребінка,"шосе Каманіна, буд. 8 кв. 2, Белз, 81935",+380 48 307-11-19,andrusenkorozaliia@example.net
Кабалюк,Ярема,Микитович,Чоловіча,13.05.1993,Нотаріус,селище Луцьк,"вулиця Бузковий 1-й, буд. 4, Вижниця, 87626",395-11-31,klyment14@example.com
Охріменко,Володимир,Ярославович,Чоловіча,12.09.1940,Стиліст,село Семенівка,"набережна Флотський 1-й, буд. 51, Гребінка, 35866",+380 66 424-50-38,shapovaliosyp@example.com
Лисенко,Франц,Владиславович,Чоловіча,19.10.1957,Головний меркшейдер,місто Донецьк,"сквер Дев’ята, буд. 608 кв. 91, Глобине, 55190",420-05-16,areva@example.net
Рева,Устим,Богуславович,Чоловіча,14.02.1945,Програміст,хутір Корюківка,"набережна Амурський 1-й, буд. 8 кв. 5, Нова Каховка, 38643",+380 66 006-78-57,mykhailychenkomartyn@example.org
Корбут,Леонід,Павлович,Чоловіча,01.02.1976,Сценарист,місто Оріхів,"узвіз Польська, буд. 078 кв. 778, Охтирка, 34026",+380 12 861-84-31,aleksandrenkoborys@example.com
Верховинець,Левко,Яремович,Чоловіча,25.11.1984,Кур'єр,село Херсон,"вулиця Польовий 1-й, буд. 5 кв. 9, Рава-Руська, 25825",726-47-73,ulemeshko@example.net
Салій,Ярема,Яремович,Чоловіча,22.11.2000,Дерун,селище Переяслав,"парк Нафтовиків, буд. 91 кв. 569, Коростень, 06240",+380 (23) 174-63-99,tymofiiievtushok@example.com
Рябошапка,Олекса,Демидович,Чоловіча,17.11.1957,Гицель,хутір Нова Одеса,"сквер Туристська, буд. 4, Южне, 23621",268 43 42,solomiia93@example.com
Чуйко,Петро,Микитович,Чоловіча,19.02.1948,Письменник,місто Новодружеськ,"провулок Тульська, буд. 633, Красногорівка, 68367",+380 61 502 94 41,cbabii@example.com
Дутка,Онисим,Тимофійович,Чоловіча,03.11.1961,Гінеколог,селище Новоград-Волинський,"проспект Гонтаренко, буд. 8 кв. 270, Першотравенськ, 34188",087 367-73-81,ihorzabashta@example.net
Василенко,Леонід,Ігнатович,Чоловіча,31.01.1952,Географ,селище Борзна,"площа Фонтанська дорога, буд. 15, Берислав, 15670",032 266 06 10,odarkaparasiuk@example.com
Ґерета,Віктор,Ігнатович,Чоловіча,15.03.1977,Перекладач,селище Старий Самбір,"провулок Ткачова, буд. 1 кв. 053, Турка, 28278",+380 48 687-28-68,mykolai65@example.net
Філіпенко,Геннадій,Дмитрович,Чоловіча,28.01.1985,Підприємець,селище Шепетівка,"провулок Луцька, буд. 2 кв. 02, Бахчисарай, 87850",+380 37 301-38-42,zprykhodko@example.com
Яремко,Михайло,Трохимович,Чоловіча,02.02.1958,Ґрунтознавець,хутір Рава-Руська,"провулок Чайковського, буд. 8, Зимогір'я, 95643",279-00-35,klavdiia16@example.org
Тарасенко,Дан,Богданович,Чоловіча,16.01.1952,Письменник,хутір Новогродівка,"площа Політкаторжан, буд. 57 кв. 4, Бориспіль, 82392",+380 (06) 560-94-91,parmen90@example.org
Артеменко,Пармен,Азарович,Чоловіча,14.03.1949,Композитор,селище Зимогір'я,"узвіз Сумська, буд. 8, Носівка, 93244",019-31-04,marta48@example.com
Дахно,Давид,Олексович,Чоловіча,02.03.1990,Лікар,місто Феодосія,"набережна Сливова, буд. 3, Алупка, 67247",+380 56 642-41-95,myron93@example.com
Вернидуб,Назар,Олегович,Чоловіча,16.02.1984,Громадський діяч,селище Винники,"узвіз Семінарська, буд. 6, Золотоноша, 20073",068-64-88,liubov05@example.org
Вакуленко,Омелян,Тарасович,Чоловіча,30.11.1940,Штукатур,місто Белз,"парк Скляна, буд. 47, Українськ, 75209",+380 06 120 20 86,rozaliia26@example.org
Худяк,Марко,Михайлович,Чоловіча,22.10.1943,Мовознавець,місто Бучач,"площа Грецька, буд. 3, Сміла, 84981",711 40 20,somkosolomon@example.net
Карпа,Юхим,Михайлович,Чоловіча,07.11.1938,Піаніст,місто Амвросіївка,"набережна Офіцерська, буд. 08 кв. 531, Батурин, 81480",+380 (09) 362-56-03,oleksandr74@example.com
Гуцуляк,Стефан,Олегович,Чоловіча,29.11.1964,Скульптор,село Остер ,"парк Восьмого березня 8-й, буд. 27, Олешки, 36653",004 394 90 69,snizhanahunko@example.com
Демʼянчук,Трохим,Іванович,Чоловіча,20.04.1944,Провізор,селище Курахове,"шосе Бахчева, буд. 97, Щастя , 71548",+380 (65) 579-61-38,danchukmykhailyna@example.org
Щербак,Опанас,Леопольдович,Чоловіча,08.04.1957,Актор,хутір Новоукраїнка,"вулиця Севастопольський, буд. 73, Костянтинівка, 59071",+380 29 679 16 19,vdzhus@example.com
Євтушок,Мирослав,Петрович,Чоловіча,06.08.1961,Зоолог,місто Хотин,"вулиця Ширшова, буд. 1 кв. 203, Гнівань, 06317",+380 15 543-98-76,amaliia32@example.net
Ґерета,Віктор,Демʼянович,Чоловіча,22.05.1940,Живописець,місто Марганець ,"проспект Ямська, буд. 902 кв. 295, Великі Мости, 35977",+380 18 084 81 22,sirobabaemiliia@example.net
Журавель,Опанас,Георгійович,Чоловіча,23.08.1981,Будник,село Шпола,"проспект Аеропортівський 3-й, буд. 386, Бердянськ, 99661",254-24-37,mtkachenko@example.com
Ґоляш,Йосип,Ростиславович,Чоловіча,18.10.1941,Публіцист,хутір Звенигородка,"узвіз Лінія 27-ма, буд. 118 кв. 389, Сарни, 80217",009 585-74-06,dmytro12@example.net
Яремків,Августин,Гордійович,Чоловіча,07.05.1978,Сценарист,хутір Павлоград,"шосе Ползунова 1-й, буд. 5 кв. 3, Старий Самбір, 04439",060 021 23 21,leonidustenko@example.com
Бгиденко,Дан,Охрімович,Чоловіча,15.11.1973,Географ,село Білгород-Дністровський,"сквер Спортивна, буд. 21 кв. 47, Дружківка, 90966",+380 53 869 15 47,terezanesterenko@example.org
Царенко,Тарас,Геннадійович,Чоловіча,11.11.1997,Географ,місто Красноперекопськ,"провулок Пересипська 5-та, буд. 0, Болехів, 50111",+380 (12) 053-53-11,iakivtarasenko@example.com
Гречко,Гліб,Кирилович,Чоловіча,04.05.1957,Етнограф,село Лисичанськ,"узвіз Вільгельма Габсбурга, буд. 6 кв. 63, Барвінкове, 73494",+380 44 678 54 62,jturkalo@example.com
Гавриленко,Макар,Альбертович,Чоловіча,22.06.1944,Головний меркшейдер,селище Путивль,"сквер Чорноморський 2-й, буд. 555, Красноград, 09915",047 084 55 54,bmatiash@example.com
Якименко,Костянтин,Максимович,Чоловіча,02.12.1963,Психолог,село Біла Церква,"парк Місячна, буд. 3, Красногорівка, 19109",+380 (33) 866-24-88,amvrosiiizhak@example.com
Захаренко,Омелян,Глібович,Чоловіча,26.05.1953,Фольклорист,селище Полтава,"провулок Пугачова, буд. 522 кв. 71, Радехів, 03215",093 286 42 47,kovalenkomyroslav@example.com
Лаба,Вадим,Варфоломійович,Чоловіча,10.10.1969,Хореограф,хутір Зимогір'я,"провулок Вапняне селище, буд. 3, Бровари, 23911",056 145 22 77,lsavenko@example.org
Шаповал,Захар,Мартинович,Чоловіча,16.09.1961,Співак,селище Брянка,"вулиця Малиновський, буд. 896 кв. 2, Покровськ, 14494",+380 (78) 217-82-51,haivoronskyiherman@example.net
Зарудний,Адам,Борисович,Чоловіча,18.05.1988,Секретар,хутір Кам'янське,"узвіз Кропивницького, буд. 81, Алушта, 70418",+380 97 570-86-65,iryna59@example.org
Малик,Опанас,Андрійович,Чоловіча,02.01.1999,Електромонтажник,хутір Рогатин,"сквер Лінія 37-ма, буд. 724 кв. 8, Березань , 13954",+380 13 159-80-90,ruslan89@example.org
Баран,Євген,Соломонович,Чоловіча,09.04.2000,Бізнесмен,хутір Вараш,"площа Моторний 2-й, буд. 3 кв. 1, Білопілля, 69987",+380 (67) 744-11-28,zshtepa@example.net
Цушко,Стефан,Артемович,Чоловіча,16.04.2001,Каскадер,хутір Довжанськ,"набережна Південно-Санаторний, буд. 611, Єнакієве, 55276",+380 64 868-32-67,opanasenkoorkhyp@example.org
Романчук,Володимир,Леопольдович,Чоловіча,26.06.2005,Фольклорист,місто Вуглегірськ,"парк Марата, буд. 74 кв. 00, Макіївка, 47248",763 02 09,lvdovychenko@example.net
Проценко,Геннадій,Дмитрович,Чоловіча,08.10.1979,Правник,місто Немирів,"шосе Лузанівка, буд. 685, Ялта, 34683",062 457 84 83,qmazepa@example.org
Бабʼяк,Ростислав,Пилипович,Чоловіча,21.08.2006,Архітектор,селище Новоград-Волинський,"вулиця П'ята, буд. 76 кв. 0, Білицьке, 99151",775 83 91,anzhela35@example.org
Андрієнко,Ілля,Віталійович,Чоловіча,29.09.1982,Кінокритик,селище Турка,"проспект Окружна, буд. 96, Зміїв, 90948",+380 (82) 280-05-57,ysirko@example.org
Наливайко,Михайло,Бориславович,Чоловіча,03.08.1986,Громадський діяч,хутір Миколаїв,"парк Баркасний, буд. 7, Ізмаїл, 62780",004 051-73-49,perepelytsiavitalii@example.com
Асаула,Леопольд,Вʼячеславович,Чоловіча,15.06.1989,М'ясник,село Карлівка,"шосе Березовий, буд. 2, Добромиль, 44096",041 562-51-08,marta99@example.net
Авдєєнко,Микита,Йосипович,Чоловіча,19.09.1988,Палеонтолог,село Яготин,"провулок Тінистий, буд. 024 кв. 5, Черкаси, 62254",+380 19 423 54 00,datsenkovioletta@example.org
Ткаченко,Федір,Ростиславович,Чоловіча,18.10.1963,Електромонтажник,селище Березань ,"площа Трамвайний, буд. 510, Коростень, 21114",480-19-64,arkadii23@example.com
Нестайко,Устим,Гаврилович,Чоловіча,08.02.1992,Композитор,селище Гірське,"провулок Лесі Українки, буд. 935, Збараж, 89127",090 011-77-93,petro41@example.net
Килимник,Адам,Азарович,Чоловіча,11.07.1960,Модельєр,місто Новоазовськ,"сквер Студентський 1-й, буд. 061, Южне, 50052",+380 22 035 76 43,mariia30@example.net
Фастенко,Варфоломій,Вікторович,Чоловіча,25.08.2006,Штукатур,хутір Південне ,"парк Бернардацці, буд. 95, Молочанськ, 47494",+380 40 858 95 04,deisunmartyn@example.net
Артюшенко,Миколай,Романович,Чоловіча,15.08.1995,Сценарист,хутір Костопіль,"сквер Шефська, буд. 765 кв. 7, Дубляни, 93528",+380 42 597-03-62,perebyinissofiia@example.org
Єресько,Гаврило,Демʼянович,Чоловіча,11.11.1973,Живописець,селище Кременчук,"шосе Чорноморського козацтва, буд. 923 кв. 50, Збараж, 31005",070 016-79-55,bdrobiazko@example.net
Бабко,Ілля,Костянтинович,Чоловіча,16.09.2001,Каскадер,хутір Бобринець,"шосе Басейна, буд. 0 кв. 700, Жашків, 54750",083 545-61-48,prykhodkohavrylo@example.net
Швайка,Костянтин,Альбертович,Чоловіча,20.11.1987,Перекладач,місто Вижниця,"провулок Травневий, буд. 377, Яворів, 35651",060 944 01 68,anitatkachenko@example.org
Бабʼюк,Ілля,Владиславович,Чоловіча,23.09.1952,Ґрунтознавець,село Вилкове,"шосе Тираспольське, буд. 01 кв. 8, Армянськ, 15529",961 65 07,jkhomyk@example.net
Гайденко,Хома,Альбертович,Чоловіча,23.12.1941,Доцент,хутір Лозова ,"провулок 1-ша Лінія Марії Демченко, буд. 091 кв. 8, Дубно, 38390",035 536 61 32,khmaraiustyna@example.com
Ващенко,Юстим,Юхимович,Чоловіча,24.01.1963,Історик,селище Кам'янське,"шосе Макова, буд. 212, Івано-Франківськ, 26930",017 025 09 02,bhaivoronskyi@example.net
Бабак,Трохим,Захарович,Чоловіча,22.10.1965,Гицель,селище Горохів,"парк Катерининська, буд. 083 кв. 8, Полтава, 28934",+380 23 849-27-48,zhuchenkoielysaveta@example.com
Ткач,Левко,Варфоломійович,Чоловіча,11.09.2003,Льотчик,село Краматорськ,"набережна Штурманська, буд. 4 кв. 69, Луцьк, 60374",259 93 92,fustenko@example.org
Батіг,Леон,Сергійович,Чоловіча,21.10.1938,Юрист,хутір Біла Церква,"провулок Селищний, буд. 791, Шпола, 79458",020 429 66 91,umasliak@example.com
Литвиненко,Альберт,Аркадійович,Чоловіча,03.09.1964,Підприємець,селище Мирноград,"проспект Наклонна, буд. 150 кв. 874, Бахчисарай, 71058",793 90 13,svystunanastasiia@example.org
Верменич,Борис,Ростиславович,Чоловіча,21.10.1973,Геолог,місто Сновськ,"проспект Старобазарний, буд. 037, Дружба , 32035",089 526 31 72,kostiantyn85@example.com
Єсипенко,Геннадій,Глібович,Чоловіча,04.07.1978,Інженер,хутір Бахмут,"проспект Довга, буд. 1, Апостолове, 49727",848-83-11,anita82@example.org
Лесик,Станіслав,Петрович,Чоловіча,13.03.1959,Шериф,село Буча,"сквер Тепла, буд. 7, Берестечко, 58994",+380 (96) 088-36-87,oiesypenko@example.com
Вернигора,Єлисей,Антонович,Чоловіча,25.06.1938,Фольклорист,місто Кам'янка (Черкаська область),"сквер Локомотивний 3-й, буд. 311, Бориспіль, 70584",053 064-34-55,haidaileontii@example.net
Носенко,Геннадій,Августинович,Чоловіча,10.09.1994,Електрослюсар,хутір Зугрес,"парк Ковалевського, буд. 52 кв. 1, Калуш, 40395",+380 21 348 19 43,ntelychenko@example.org
Гаєвський,Михайло,Антонович,Чоловіча,19.04.1945,Літературознавець,місто Горохів,"площа Маринеско узвіз, буд. 25, Почаїв, 85974",034 156-91-09,ievakabaliuk@example.net
Скопенко,Аврелій,Ярославович,Чоловіча,21.05.1971,Педагог,місто Лубни,"провулок Металістів, буд. 0 кв. 46, Камінь-Каширський, 70386",+380 16 552 82 12,venedykt03@example.org
Непорожній,Мирон,Варфоломійович,Чоловіча,29.09.1978,Кухар,хутір Довжанськ,"провулок Манежний, буд. 3 кв. 56, Новгород-Сіверський, 30654",+380 29 325-25-20,otkach@example.com
Даньків,Валерій,Алевтинович,Чоловіча,17.10.1993,Програміст,село Кадіївка,"набережна 14-та ст. Великого Фонтану пляж, буд. 737 кв. 952, Кадіївка, 53386",249-12-10,zakhar75@example.com
Онуфрієнко,Остап,Захарович,Чоловіча,09.01.1968,Кінорежисер,селище Верхівцеве,"набережна Берегова, буд. 64 кв. 2, Ізяслав, 61201",+380 (37) 895-01-81,valentynasvyrydenko@example.org
Лавренко,Петро,Станіславович,Чоловіча,22.02.1956,Громадський діяч,селище Свалява,"парк Басейний 2-й, буд. 4, Бережани, 41254",091-23-26,zaporozhetsanastasiia@example.org
Черненко,Леонід,Захарович,Чоловіча,01.11.1939,Музичний редактор,місто Тульчин,"парк Матеріальний 1-й, буд. 239, Ічня, 02362",+380 00 913-07-30,kostiantynumanets@example.com
Гаєвський,Ігор,Володимирович,Чоловіча,18.06.1942,Бізнесмен,село Сіверськ,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 97 кв. 728, Родинське, 95857",980-06-01,spasshovkoplias@example.net
Аронець,Венедикт,Венедиктович,Чоловіча,27.09.1983,Кушнір,місто Ізюм,"парк Сибірська, буд. 4 кв. 2, Глобине, 35935",016 714-55-32,dzinkevych@example.org
Даценко,Олекса,Варфоломійович,Чоловіча,14.12.1994,Кінорежисер,селище Боярка,"сквер Кордонний, буд. 241 кв. 821, Житомир, 72657",+380 70 893 92 38,lutsenkoemiliia@example.org
Рудько,Роман,Бориславович,Чоловіча,05.02.1984,Стиліст,селище Острог,"площа Єврейська, буд. 0 кв. 063, Звенигородка, 58452",383 04 55,bohuslavaiermolenko@example.org
Верховинець,Богодар,Демидович,Чоловіча,18.10.1953,Адвокат,селище Угнів,"провулок Колонічна, буд. 027 кв. 288, Бунге , 80634",+380 15 618 66 89,orkhypdotsenko@example.com
Ґерус,Федір,Семенович,Чоловіча,10.09.2007,Агроном,місто Вугледар,"узвіз Дворянська, буд. 64 кв. 263, Родинське, 88439",+380 22 893-23-39,oleksandr98@example.com
Тимченко,Святослав,Захарович,Чоловіча,29.01.1987,Промисловець,місто Вугледар,"вулиця Поштова, буд. 9, Лохвиця, 64426",+380 83 489-38-45,zaietszakhar@example.com
Гунько,Гордій,Антонович,Чоловіча,23.09.2000,Епідеміолог,місто Дружківка,"парк Дворянська, буд. 545, Ржищів, 90700",099 697 08 05,zakharredko@example.org
Гавриленко,Мартин,Аврелійович,Чоловіча,22.05.1949,Випробувач,село Долина ,"парк Псковський, буд. 2 кв. 25, Знам'янка, 87452",+380 26 359-30-11,iefrem86@example.net
Карпенко,Борис,Сергійович,Чоловіча,21.01.1969,Мовознавець,селище Судова Вишня,"площа Скворцова, буд. 113, Олександрія, 37623",+380 05 972 48 33,zakharfranchuk@example.org
Гавриш,Симон,Альбертович,Чоловіча,14.12.1974,Стиліст,місто Соснівка ,"площа Лінія 47-ма, буд. 676 кв. 8, Слов'янськ, 46369",+380 (96) 832-88-80,ndemianchuk@example.org
Гук,Миколай,Іванович,Чоловіча,06.09.1945,Краєзнавець,хутір Збараж,"вулиця Вертелецького, буд. 73 кв. 243, Сулимівка (Слов'янськ), 35136",073 786-13-50,kmatiash@example.com
Чалий,Пилип,Андрійович,Чоловіча,26.06.1970,Астроном,хутір Дружківка,"шосе Касима Юрія, буд. 48 кв. 79, Львів, 24743",074 580-26-75,maksymmykytiuk@example.com
Батіг,Олександр,Охрімович,Чоловіча,12.08.1942,Різноробочий,село Мар'їнка,"набережна Нафтовиків 2-й, буд. 0 кв. 7, Гайсин, 84643",+380 25 961 69 99,iaroslav38@example.org
Нестеренко,Амвросій,Ігорович,Чоловіча,29.01.1996,Антрополог,хутір Ізюм,"провулок Вокзальний, буд. 0, Світловодськ, 67567",068 470-21-63,ihnatmazepa@example.net
Байдак,Прохір,Мирославович,Чоловіча,11.12.1942,Промисловець,місто Глобине,"проспект Шебелінський, буд. 772 кв. 284, Горлівка, 67302",740-92-71,leslesyk@example.org
Гресь,Климент,Адамович,Чоловіча,10.02.1942,Літературознавець,хутір Рівне,"площа Кришталевий, буд. 01 кв. 2, Старокостянтинів, 14821",+380 46 132-77-80,haidenkopanas@example.net
Чалий,Пантелеймон,Вʼячеславович,Чоловіча,17.04.1980,Круп'є,селище Тараща,"шосе Івана Франка, буд. 75, Дрогобич, 38070",+380 68 697-29-65,arsenriabovil@example.net
Рева,Лесь,Глібович,Чоловіча,25.11.1988,Нотаріус,місто Карлівка,"вулиця Чернівецький, буд. 5, Камінь-Каширський, 98006",+380 (16) 128-69-46,mykhailo20@example.net
Яремко,Онисим,Соломонович,Чоловіча,25.04.1944,Менеджер,селище Ірміно,"парк Селищний, буд. 921 кв. 729, Носівка, 85297",+380 79 414-82-69,ihorirvanets@example.org
Гупало,Роман,Захарович,Чоловіча,31.05.1996,Намотувальник,місто Старобільськ,"сквер Аеропортівський 1-й, буд. 5, Шумськ, 89010",073-94-34,tetianaatamaniuk@example.org
Влох,Лукʼян,Орестович,Чоловіча,27.08.1971,Єгер,місто Торецьк,"узвіз Матюшенка, буд. 96 кв. 3, Скадовськ, 73108",838-43-03,bazylevychbohdanna@example.org
Данькевич,Веніямин,Симонович,Чоловіча,19.11.1994,Громадський діяч,селище Лутугине,"провулок Костанді 2-й, буд. 5 кв. 2, Узин, 11475",+380 49 762 21 33,hryhoriinikoliuk@example.com
Рубець,Валерій,Віталійович,Чоловіча,23.09.1988,Адвокат,село Рожище,"набережна Іванівська, буд. 519, Сновськ, 80017",060 101 22 41,mariana65@example.net
Іщак,Феофан,Трохимович,Чоловіча,05.12.1955,Соціолог,село Бережани,"узвіз Щоглова, буд. 733, Зеленодольськ, 35113",249 09 65,tbarabash@example.org
Гречко,Пилип,Леонідович,Чоловіча,18.02.1956,Хімік,село Керч,"сквер Строганова, буд. 008, Миколаїв, 69635",080 301 32 89,emasokha@example.com
Тригуб,Левко,Богодарович,Чоловіча,26.06.2003,Етнограф,хутір Заставна,"шосе Центральна, буд. 29, Звенигородка, 51298",+380 (15) 745-82-98,sheremetastepan@example.org
Тихий,Роман,Венедиктович,Чоловіча,14.08.1960,Біолог,місто Новий Буг,"узвіз 12-та ст. Великого Фонтану пляж, буд. 37 кв. 06, Старий Самбір, 55604",+380 44 080-06-33,demyd24@example.org
